action_name,timestamp
created account,Fri Apr 29 22:39:06 EEST 2022
user logged in,Fri Apr 29 22:39:32 EEST 2022
customer show details,Fri Apr 29 22:39:47 EEST 2022
created card,Fri Apr 29 22:39:59 EEST 2022
customer show details,Fri Apr 29 22:40:03 EEST 2022user logged in,Fri Apr 29 22:41:13 EEST 2022
customer show details,Fri Apr 29 22:41:15 EEST 2022
deposit cash,Fri Apr 29 22:41:20 EEST 2022
created account,Sat Apr 30 02:40:44 EEST 2022
created account,Sat Apr 30 02:43:13 EEST 2022
created account,Sat Apr 30 02:43:54 EEST 2022
created account,Sat Apr 30 02:45:14 EEST 2022
created account,Sat Apr 30 02:45:39 EEST 2022
user logged in,Sat Apr 30 07:41:35 EEST 2022
user logged in,Sat Apr 30 07:47:32 EEST 2022
print expired cards,Sat Apr 30 07:47:35 EEST 2022
user logged in,Sat Apr 30 07:49:17 EEST 2022
print expired cards,Sat Apr 30 07:49:21 EEST 2022
user logged in,Sat Apr 30 07:51:10 EEST 2022
print expired cards,Sat Apr 30 07:51:14 EEST 2022
